id;tutorial_title;tutorial_video;tutorial_created_date
1;Money Steel;Outdoors Analyst indigo;navigate
2;model Synergized Legacy;Investment matrix;calculating Up-sized
3;Investor;24/365 turn-key asymmetric;SCSI zero National
4;Global Islands Borders;infrastructures connecting emulation;Re-engineered next
5;Ergonomic logistical;Books;Gloves Djibouti e-markets
6;Chair Markets;gold;firmware
7;Shoes;visualize Zimbabwe Mouse;Unbranded pixel Research
8;Ford digital;Buckinghamshire initiative;Belarussian
9;Bedfordshire;Car maximized;bandwidth
10;Configuration Account;back-end Berkshire;Cambridgeshire back-end Rwanda
