id;note_title;note_content;note_date_open;note_date_close;note_status
1;productivity Rial;Account orange auxiliary;2022-04-03;2022-04-03;projection Industrial
2;back-end e-commerce;cultivate;2022-04-03;2022-04-03;hacking
3;Handmade Strategist mesh;Haven;2022-04-03;2022-04-04;Ford definition
4;Fresh;Avon;2022-04-03;2022-04-04;Streamlined
5;Chicken deposit Drives;Metal Franc Loaf;2022-04-03;2022-04-04;Pizza
6;Small;Rubber;2022-04-04;2022-04-04;strategize Croatia
7;Avon;Frozen Koruna Roads;2022-04-04;2022-04-03;leading-edge Soap
8;Metal Algeria;Regional zero Security;2022-04-03;2022-04-03;Sausages Toys Health
9;revolutionize SMTP;virtual Small digital;2022-04-03;2022-04-03;systems
10;SMS;Nicaragua envisioneer zero;2022-04-03;2022-04-03;Solutions
